B: Shaldon
N: Shaldon

01 20
71 52
06 25
76 55
16 26
55 47
00 01
47 55
25 06
61 51
14 34
72 61
13 23
66 46
20 41
52 71
04 14
75 66
02 46
63 53
26 36
61 52
14 04
66 57
05 16
52 34
23 34
77 76
46 24
64 44
41 33
57 75
03 25
62 42
33 45
75 66
25 14
55 63
15 25
66 55
10 20
73 62
24 33
60 40
04 13
76 77
45 57
62 52
33 15
52 30
14 23
30 33
15 24
55 37
16 05
37 73
23 33
42 33
05 14
63 55
36 46
74 75
01 04
73 62
13 02
51 41
11 21
75 64
24 15
64 73
57 65
c73 74
06 27
74 64
20 30
55 43
21 31
62 73
12 22
67 57
15 24
77 75
24 13
57 46
27 46
64 63
25 35
43 55
14 36
c63 74
36 03
71 63
46 27
73 64
04 24
55 34
24 34
63 71
31 40
64 55
03 25
74 63
65 44
c63 73
13 24
70 40
27 46
73 64
07 06
71 50
06 05
33 24
02 03
53 43
44 36
c64 53
17 37
75 70
36 17
53 63
30 41
63 73
34 74
c73 74
05 15
40 10
25 07
55 44
15 11
10 40
11 01
44 22
01 00
74 73
07 25
22 04
03 02
40 30
17 36
70 60
25 34
60 64
36 24
73 74
02 03
50 71
37 47
30 50
46 27
50 51
END:6
