B: Morphy
N: Bobbi

11 31
67 47
12 22
76 57
13 23
63 43
31 41
77 76
03 13
65 55
13 57
71 52
17 37
72 54
07 27
52 40
57 35
62 52
35 30
52 42
10 20
70 71
02 11
66 56
30 35
43 33
35 45
76 66
45 54
73 62
54 50
40 52
16 26
64 44
00 10
71 70
27 17
62 63
41 51
42 32
14 34
33 22
50 32
63 65
32 41
66 67
06 14
67 77
05 16
56 46
41 32
65 62
11 02
62 73
32 76
77 57
02 46
70 72
76 66
60 40
46 24
55 45
17 07
75 42
01 13
45 34
24 46
57 53
07 27
73 62
04 03
53 63
16 07
62 73
14 33
63 53
46 24
72 71
10 11
73 62
07 34
22 11
66 56
c74 63
56 57
63 72
57 75
c72 63
13 32
62 51
75 77
51 50
24 13
42 51
32 11
50 60
34 67
53 57
77 71
52 64
33 25
63 54
71 75
51 33
67 45
c64 45
11 32
60 71
13 04
54 43
75 57
61 41
04 40
71 53
03 02
41 32
57 35
45 26
35 34
c43 54
25 04
26 45
34 16
53 43
02 03
43 52
16 06
33 24
27 17
54 53
40 51
45 26
23 32
26 05
06 76
52 30
c04 12
30 21
76 67
21 01
c03 14
24 46
51 62
c53 52
14 23
01 12
c23 12
46 24
62 51
24 57
67 34
c52 53
34 52
c53 52
51 73
52 53
15 25
57 35
17 15
35 26
12 11
26 37
73 40
53 42
40 51
c42 52
11 21
05 13
c21 10
37 46
15 17
13 01
17 37
46 13
20 30
13 22
10 01
52 63
51 42
22 11
37 07
63 72
42 15
11 02
07 47
02 57
47 07
57 24
30 40
72 61
07 04
61 52
04 02
24 42
15 06
52 61
01 11
42 75
06 51
61 52
02 00
52 53
32 42
c53 54
11 10
75 66
10 11
66 55
00 01
54 64
11 02
44 34
02 12
55 33
12 21
34 24
01 06
33 11
21 11
64 63
25 35
24 14
35 45
63 64
06 02
64 63
11 21
63 72
02 00
72 61
21 22
61 72
00 07
72 61
42 52
c61 71
07 04
71 70
40 50
70 71
22 33
71 72
33 43
72 71
50 60
c71 70
04 14
END:0
