B: Pippo
N: Shaldon

13 33
65 45
06 25
71 50
07 06
66 46
02 13
75 57
06 07
46 36
13 57
45 35
01 20
62 42
04 13
42 33
00 01
73 62
25 06
74 65
03 02
64 44
17 27
33 23
11 31
62 40
13 22
40 20
c02 20
63 53
07 17
23 13
c22 13
36 27
16 36
61 51
15 25
65 54
13 04
50 62
20 11
54 64
11 33
72 54
33 35
62 41
17 27
54 36
12 22
70 71
27 07
36 72
35 24
76 55
05 27
77 73
24 44
c64 65
44 47
c65 76
47 74
c73 74
57 13
74 64
10 30
64 24
27 72
71 61
72 61
41 22
61 70
55 74
30 40
53 43
31 41
67 47
13 24
74 53
04 15
53 61
15 26
61 73
06 27
22 30
07 04
43 33
24 33
73 65
70 43
30 11
33 44
51 40
01 02
76 75
02 01
60 50
43 21
47 37
c26 35
75 74
44 66
65 53
04 03
11 23
c35 36
40 30
66 57
23 44
c36 37
53 32
21 32
44 56
c37 26
56 35
03 07
35 47
c26 36
74 64
27 15
47 26
57 02
26 45
41 51
64 53
15 03
53 52
02 11
52 51
07 04
51 60
14 34
60 70
32 14
45 33
36 26
33 12
11 20
12 24
04 05
24 16
20 31
70 61
31 75
c61 52
75 20
16 24
26 35
52 63
01 31
63 52
05 15
24 36
31 21
30 21
35 26
36 55
14 50
55 74
15 11
52 51
11 17
51 40
17 15
74 62
15 12
40 51
50 61
21 12
26 36
51 61
20 53
62 41
53 71
41 53
03 11
61 71
36 46
53 45
11 03
45 37
03 22
37 16
22 01
16 35
46 35
71 60
35 46
12 02
p A
c25 35
02 24
46 37
24 33
37 26
60 51
01 13
51 52
26 16
33 77
13 01
77 00
16 15
00 11
01 22
11 02
22 14
52 63
14 33
63 64
15 14
02 24
14 05
24 13
33 25
13 04
25 33
04 26
33 25
64 63
34 44
26 17
35 45
63 64
25 33
64 65
05 16
17 44
16 05
44 26
33 25
26 17
05 04
65 75
25 13
17 06
13 01
06 51
01 13
51 73
45 55
73 64
13 34
64 55
04 13
55 46
c34 46
75 74
46 54
74 65
13 03
65 74
54 73
74 63
03 02
63 62
02 13
62 53
13 03
53 64
73 54
64 74
54 33
74 63
33 52
63 52
03 12
52 63
12 02
63 52
02 01
52 62
01 10
62 51
10 00
51 61
00 10
61 60
10 00
60 51
00 01
51 61
01 10
61 51
10 11
51 61
11 01
61 70
01 11
70 61
11 02
61 72
02 12
72 71
12 13
71 61
13 02
61 72
02 01
72 61
01 10
61 70
10 20
70 61
20 11
61 70
11 00
70 60
00 10
60 71
10 21
71 60
21 32
60 61
32 21
61 72
END:0
