B: Magnus
N: Shaldon

14 34
65 55
03 25
74 65
05 14
60 40
10 30
67 47
06 27
71 50
25 26
63 53
15 35
66 46
12 32
76 57
14 47
c65 54
34 44
61 51
00 10
72 61
47 14
61 72
26 36
c57 36
27 06
36 17
01 20
54 63
20 01
46 36
35 45
51 41
01 20
50 31
14 23
72 61
32 42
73 74
07 17
31 10
20 01
61 25
23 14
77 76
04 05
63 73
42 53
70 50
14 23
25 61
06 27
76 46
23 34
50 53
01 22
10 31
44 55
53 43
27 46
31 10
22 01
43 44
13 33
75 66
46 65
c73 72
01 20
62 42
02 35
44 43
20 12
74 52
35 44
43 63
17 77
c66 75
34 23
10 02
44 53
02 21
12 31
52 25
c16 25
42 31
77 17
21 02
17 13
64 55
53 17
02 23
17 26
75 64
26 17
23 11
25 35
63 53
17 26
64 73
13 16
73 64
05 04
64 73
65 73
53 51
16 11
51 54
c04 13
61 50
33 43
31 21
43 53
41 30
11 01
72 63
01 02
50 05
13 22
54 04
22 13
04 54
02 12
54 64
26 37
64 65
13 04
65 67
12 17
05 14
37 26
67 27
26 15
14 50
15 42
27 77
17 13
63 74
13 10
21 11
73 54
74 63
10 00
11 01
p T
c04 13
50 72
13 22
77 07
22 12
01 00
54 62
30 20
62 54
00 04
42 33
04 03
54 62
63 53
33 60
03 01
62 43
07 27
60 06
27 26
06 51
26 25
51 42
c53 63
42 24
63 52
24 02
25 26
12 13
01 02
43 64
c52 63
13 02
26 24
02 03
24 34
03 02
63 73
64 56
34 64
02 12
72 50
56 75
50 61
12 02
20 10
75 67
61 70
02 13
64 24
67 55
24 23
c13 12
23 27
55 43
70 52
12 02
52 30
43 24
27 77
24 12
77 17
12 24
17 07
c02 11
07 02
24 32
73 74
32 51
02 22
51 70
74 63
70 51
c63 73
51 32
22 21
c11 10
21 22
45 55
73 62
10 11
22 27
32 40
36 26
55 65
30 12
40 21
62 52
21 42
52 62
11 12
27 07
12 22
07 04
22 21
26 16
42 54
c62 61
54 62
04 54
62 70
54 57
21 12
57 67
12 11
61 71
35 45
71 60
11 01
60 61
70 62
61 51
62 50
67 66
50 62
66 26
65 75
p C
26 46
01 11
16 06
p T
75 54
51 40
11 12
06 05
12 21
05 45
21 10
46 26
54 35
45 46
62 43
46 36
35 23
36 34
23 44
34 32
44 23
32 31
23 42
31 61
10 00
61 65
43 35
26 46
00 01
46 45
35 54
40 41
54 75
41 40
75 54
45 42
54 66
65 62
66 74
40 41
74 62
c42 62
01 10
62 02
10 11
02 62
11 21
41 50
21 20
62 72
20 21
72 32
21 10
32 31
10 20
50 40
20 10
31 61
10 00
61 31
00 10
31 37
10 11
37 36
11 21
36 16
21 22
16 56
22 11
56 36
11 01
36 56
01 10
56 52
10 11
52 02
11 02
END:0
