B: Polgar
N: Morphy

12 32
71 50
16 36
63 43
15 25
65 55
03 21
73 53
05 27
72 36
21 31
76 57
31 22
74 73
14 24
61 41
27 16
43 32
06 27
64 54
11 21
36 47
04 15
53 17
15 04
66 46
10 30
73 63
27 15
62 42
30 40
63 52
22 44
70 73
44 62
c50 62
13 33
17 35
00 20
35 26
20 00
57 36
07 05
52 63
00 30
62 70
25 35
26 17
35 46
47 74
16 52
c63 64
52 25
73 72
15 23
64 53
46 56
74 56
21 31
42 33
01 13
36 15
30 20
75 64
25 61
72 62
05 07
64 73
61 43
17 57
07 37
33 24
13 34
c56 34
37 35
55 45
43 54
34 25
54 72
62 72
23 42
25 14
02 24
14 36
42 34
c53 44
24 51
44 43
04 13
36 14
51 60
14 25
34 46
73 55
20 24
57 56
35 25
70 51
24 54
56 47
54 52
47 37
25 27
37 33
c13 14
77 76
52 42
c43 53
46 54
33 03
c14 24
51 63
40 50
76 75
54 66
55 11
42 45
53 62
60 42
67 57
27 57
11 20
45 35
03 36
57 37
36 26
c24 33
63 42
37 57
75 77
57 52
c62 52
35 36
77 27
36 37
26 23
c33 44
32 22
37 27
23 01
27 17
42 34
66 47
72 70
50 60
70 75
47 66
20 11
17 37
75 77
60 70
p A
c52 63
37 57
77 76
57 54
01 03
70 34
76 71
54 56
03 43
c44 55
63 73
56 16
73 63
16 17
15 27
17 07
43 76
34 52
c63 72
52 43
11 00
66 74
76 06
43 52
06 02
07 17
02 13
52 63
c72 61
55 64
13 35
63 72
c61 52
74 66
35 65
c64 73
22 12
17 14
65 45
14 34
45 43
c73 64
71 72
66 45
27 46
45 24
43 03
34 54
c52 62
54 56
03 36
24 05
00 55
c56 55
46 25
55 53
36 63
c53 63
c62 51
05 13
72 71
63 53
c51 60
53 33
71 70
13 05
60 61
05 13
25 17
64 53
61 72
33 23
72 73
23 20
70 72
13 21
72 32
20 50
32 42
50 00
42 47
00 04
17 05
21 33
47 77
04 64
05 17
33 41
77 37
64 04
73 72
04 74
c72 61
53 43
37 34
43 34
17 25
34 43
25 04
74 75
04 16
75 25
12 02
p C
43 32
16 04
25 75
04 12
75 77
12 33
41 22
61 50
22 14
33 21
77 67
50 51
67 66
21 42
31 41
02 10
14 35
42 21
66 63
21 40
c32 23
51 41
23 13
41 42
13 12
42 41
12 11
41 50
63 13
50 60
13 16
10 31
16 26
60 70
11 02
70 71
35 16
31 52
26 24
52 44
16 04
44 52
24 21
c52 31
02 11
40 52
11 01
52 33
21 27
33 54
27 67
31 10
01 11
10 22
11 20
71 70
67 66
54 35
66 60
c70 71
04 23
71 60
23 15
60 50
20 31
22 10
c31 42
35 56
15 34
56 75
34 15
75 54
c42 32
10 02
15 27
54 73
27 46
50 51
32 33
02 23
46 54
23 04
54 42
51 52
42 34
04 23
33 22
52 63
34 46
63 62
22 13
23 44
46 54
c62 61
54 46
44 63
13 14
63 44
46 34
44 52
34 13
52 44
13 21
44 56
21 33
73 52
14 03
52 31
03 13
61 60
13 22
31 23
END:0
