B: Kasparov
N: Shaldon

15 25
60 40
12 22
71 52
25 35
67 47
14 24
64 54
06 14
76 57
07 06
61 51
03 21
70 50
14 26
52 31
04 15
57 76
13 23
31 23
c15 14
72 61
21 30
73 64
30 12
23 42
12 30
50 70
30 41
64 73
26 07
42 23
22 32
73 37
41 43
23 35
c14 13
37 36
17 27
36 03
c13 22
03 12
c22 12
35 23
43 63
c74 63
01 13
70 71
10 20
75 53
13 21
23 04
c12 22
71 74
16 26
53 35
22 13
74 73
13 04
40 30
07 15
62 52
21 40
61 70
04 14
77 57
15 07
35 44
24 34
70 61
14 15
57 56
05 23
76 55
15 04
44 11
40 21
73 70
02 24
56 36
23 12
55 76
04 03
61 72
12 23
52 42
27 36
11 20
21 33
70 71
23 12
63 74
33 54
72 50
54 42
20 42
00 01
71 61
06 16
50 41
16 06
65 55
24 42
61 71
01 00
71 61
42 53
61 62
36 47
62 65
06 16
41 52
53 35
65 63
c03 02
63 65
34 44
52 25
02 13
25 47
00 06
47 03
12 30
c74 75
35 46
03 12
26 36
12 21
13 22
55 45
46 64
c75 64
22 21
45 35
06 01
66 56
21 20
76 55
01 51
55 34
44 54
65 55
16 17
34 15
51 50
15 27
20 10
64 75
07 15
75 66
10 00
55 45
17 27
45 42
36 46
35 25
30 03
42 45
15 36
45 40
c00 11
40 30
03 30
66 76
11 20
76 75
30 63
75 76
27 47
56 47
63 72
76 66
50 60
c66 77
60 70
47 37
36 17
37 27
70 50
77 67
50 53
67 77
17 25
77 76
53 03
27 17
72 61
17 07
p D
03 43
76 75
43 42
07 02
c20 21
75 66
61 43
02 00
42 62
c66 76
62 66
c76 75
54 64
c75 74
25 17
00 50
43 52
c50 52
21 12
52 54
17 05
74 63
05 24
63 72
32 42
54 56
c12 13
56 57
24 36
57 56
42 52
72 71
36 44
56 45
44 56
45 46
c56 35
46 47
66 67
47 27
35 16
27 26
67 66
26 53
c13 14
53 55
66 67
55 25
c14 04
25 45
67 65
45 65
16 37
65 74
37 16
74 56
04 05
56 66
05 04
66 64
c04 13
64 44
13 02
44 62
02 01
62 40
16 35
40 46
01 02
46 66
02 01
66 06
c01 11
06 42
35 43
42 33
c11 20
33 13
43 55
13 73
20 30
73 75
30 40
75 57
40 30
57 35
c30 21
71 62
21 10
62 51
10 01
35 15
55 47
15 25
52 62
c51 42
01 02
25 26
02 11
26 36
47 26
42 32
11 10
32 42
10 11
36 46
11 10
46 36
10 00
42 41
00 01
41 50
01 10
36 66
26 34
66 26
10 01
26 23
c01 10
23 26
62 72
p D
c50 40
72 62
c40 30
10 00
26 36
62 26
36 26
34 26
30 20
26 07
20 31
07 26
31 20
00 01
20 21
26 05
21 32
05 13
c32 41
01 10
41 40
13 25
40 41
10 00
41 50
25 44
50 40
00 01
40 30
44 56
30 21
56 35
21 20
35 27
20 21
27 06
21 20
01 00
20 31
06 25
31 42
25 44
42 41
00 10
41 50
44 65
50 40
65 46
40 30
46 27
30 40
27 06
40 30
10 01
30 31
06 14
31 20
14 33
END:0
