B: Bobbi
N: Marius

12 32
67 57
03 30
60 50
30 40
76 55
40 45
55 43
13 23
66 46
04 13
43 35
17 37
46 37
45 44
35 43
07 17
62 42
01 22
73 62
17 27
62 51
44 46
43 31
46 43
31 23
22 01
51 52
43 46
52 51
15 25
63 53
14 23
51 73
27 17
72 63
01 22
63 27
06 27
61 51
46 35
71 63
10 20
73 62
13 24
64 44
22 34
62 72
34 55
c74 73
55 43
72 61
43 62
77 76
27 46
44 34
62 41
63 55
24 13
61 60
00 10
55 67
46 65
c73 72
25 34
76 66
35 53
70 71
13 14
66 76
53 57
71 70
02 13
76 26
13 40
75 57
40 51
60 61
41 53
c72 63
53 74
57 13
74 53
26 46
53 41
46 26
51 62
50 40
62 71
26 66
71 35
70 74
41 53
13 04
17 07
74 64
14 04
66 16
04 03
64 34
35 02
16 06
03 13
06 66
11 31
40 30
02 11
34 36
53 74
36 56
05 27
c63 64
07 01
61 51
27 05
37 27
13 03
51 31
65 53
31 22
53 65
56 46
05 14
46 43
11 00
22 00
14 36
00 55
32 43
55 54
36 47
54 43
10 12
27 17
74 53
66 76
53 72
c64 63
01 31
76 74
65 57
43 32
12 17
42 31
17 27
74 73
03 14
32 21
27 25
67 75
72 60
73 72
25 26
63 53
57 45
c53 42
45 53
42 51
26 24
75 67
14 13
21 23
c24 23
72 77
47 56
31 21
53 45
51 62
56 67
21 11
45 26
77 70
67 76
70 60
23 22
c62 51
76 10
60 70
26 05
11 01
p D
22 21
c51 52
10 01
52 63
21 11
63 62
11 21
62 52
21 27
70 73
c13 24
73 74
c24 13
74 14
c13 03
14 64
03 12
52 63
27 37
64 66
37 07
66 65
07 17
63 72
17 13
65 63
13 33
72 73
33 30
63 33
30 40
33 35
40 50
73 62
50 40
62 61
12 22
35 32
c22 11
32 34
40 50
34 31
c11 22
31 35
50 51
c61 51
22 11
35 75
01 45
51 40
11 10
75 72
05 17
40 41
45 54
41 42
54 36
72 70
10 21
42 52
36 45
70 20
c21 31
20 60
45 56
60 00
56 65
52 63
65 32
00 10
17 36
10 17
36 55
c63 73
32 50
17 37
c31 21
37 17
55 47
17 14
21 20
14 13
47 35
13 14
35 16
14 12
20 31
12 52
31 21
52 51
c21 20
51 55
50 23
73 74
23 41
c55 52
41 14
52 57
14 23
74 75
23 12
57 67
16 04
67 66
20 21
75 64
21 11
66 36
11 20
36 06
12 23
64 75
END:0
