B: Marius
N: Polgar

01 20
60 40
17 37
76 55
00 01
61 41
14 34
67 57
01 00
62 42
03 36
63 53
16 26
77 76
13 33
55 34
05 41
c71 52
11 31
76 77
02 35
70 71
04 14
71 61
14 25
64 54
36 45
66 56
37 47
34 46
c25 16
46 67
07 37
61 60
41 50
73 55
16 07
42 33
00 01
40 30
37 27
74 73
07 16
55 45
06 14
45 27
c16 06
73 62
20 41
c62 63
12 22
56 47
14 33
60 50
33 21
52 33
41 53
63 62
21 13
65 45
53 32
c62 63
32 44
c63 53
01 02
47 37
44 32
c53 64
02 03
67 55
03 05
33 41
35 53
c41 53
05 02
55 76
15 35
27 05
c06 17
64 74
32 20
75 66
02 01
37 26
c17 26
05 32
31 41
32 14
01 04
66 75
41 51
74 73
20 41
75 64
04 02
72 63
13 32
53 72
41 33
14 44
26 25
72 60
02 05
44 33
51 60
64 75
32 20
33 03
c25 26
63 41
26 15
03 04
c15 06
73 63
06 16
04 37
05 15
41 32
20 41
54 44
16 06
32 54
60 70
p A
37 26
c70 16
75 31
15 05
26 17
c06 15
76 55
05 06
63 64
06 01
64 63
01 04
31 40
04 03
c55 43
03 13
50 52
15 05
52 53
35 44
53 50
22 32
40 51
41 20
63 64
13 15
51 15
16 07
43 35
20 12
64 75
07 25
15 33
25 47
35 14
12 04
75 64
04 25
14 22
10 20
77 70
47 36
17 37
25 46
22 03
46 34
54 65
34 46
70 60
46 27
50 40
36 47
33 15
32 42
37 55
47 65
40 41
65 32
55 53
32 21
41 31
21 32
60 61
32 41
15 42
44 53
c64 53
05 16
61 66
c27 46
53 64
41 32
66 56
16 26
42 53
c26 27
03 15
c27 16
64 63
32 14
63 73
14 47
45 35
16 06
15 07
20 31
30 20
47 56
73 62
56 45
53 44
46 54
c62 63
45 12
35 25
12 21
25 15
c06 07
44 22
21 30
c63 53
30 03
57 47
54 66
22 55
66 54
55 64
31 41
53 43
54 42
64 53
42 50
53 75
07 17
43 33
50 71
47 37
03 36
33 24
36 45
24 14
45 01
75 57
01 67
57 66
67 56
66 44
c17 27
14 03
41 51
44 26
56 47
c03 02
47 14
26 17
27 37
17 62
14 03
62 51
37 27
51 42
03 14
02 13
27 36
42 51
36 27
51 62
14 05
13 03
05 16
62 51
16 07
03 04
71 52
51 24
52 73
04 14
73 52
20 10
27 17
10 00
p T
52 31
24 60
31 43
00 01
43 24
60 33
07 70
14 23
24 05
01 05
70 16
05 04
16 34
c23 24
34 61
04 05
61 34
33 77
34 61
24 14
61 52
77 22
52 41
c14 25
41 05
22 55
05 23
55 33
23 14
c25 14
17 07
14 04
07 16
33 77
16 07
04 13
07 16
13 03
16 07
77 11
07 17
11 22
17 16
15 05
p C
16 25
03 12
25 36
22 66
36 47
66 33
47 57
12 03
57 47
33 06
47 56
03 12
56 67
05 24
67 57
06 17
57 56
24 43
56 46
12 01
46 37
17 06
37 46
06 33
46 57
43 31
57 47
33 51
47 56
51 24
56 67
24 46
67 56
31 23
56 47
46 35
47 56
35 13
56 66
01 12
66 55
13 31
55 65
31 53
65 76
23 04
76 67
53 71
67 76
04 25
END:0
