B: Polgar
N: Marius

01 20
67 57
12 32
60 50
20 01
61 41
06 25
77 67
11 21
64 44
25 37
41 31
14 24
74 64
02 20
50 40
16 36
73 74
13 23
70 50
36 46
50 52
03 47
52 51
37 45
c64 54
05 27
76 55
07 06
66 56
47 25
72 61
20 11
55 76
27 05
61 72
05 14
75 64
10 20
57 46
45 53
67 27
25 27
c54 55
53 61
62 52
27 25
c55 66
06 16
64 73
24 34
52 42
01 22
65 45
61 73
45 35
11 02
51 61
02 11
63 43
22 43
74 75
43 22
61 60
04 02
60 50
03 04
50 55
22 43
66 77
25 36
75 53
20 31
53 51
04 06
72 36
16 36
77 67
31 41
76 57
06 26
57 76
43 62
55 75
21 31
67 57
73 61
76 55
62 74
51 54
11 00
57 47
74 55
c54 55
31 40
55 77
17 37
75 72
41 51
35 25
26 27
71 50
00 11
50 31
36 46
c47 57
11 44
72 73
44 17
77 67
27 26
31 52
26 27
52 33
46 43
73 72
40 50
33 54
17 26
67 64
02 12
64 73
26 44
57 47
27 17
54 66
44 33
c47 57
14 25
56 46
43 44
73 43
61 73
43 54
25 14
54 56
14 47
72 71
33 00
56 34
00 22
34 70
22 13
66 54
12 02
71 51
15 35
54 35
17 14
51 61
50 61
57 66
47 65
70 10
73 52
66 67
44 42
10 21
65 74
67 76
52 64
c76 67
42 62
35 27
13 24
21 41
14 15
41 50
15 75
50 52
24 60
46 37
75 25
52 50
64 56
c67 57
56 35
50 10
60 71
27 35
25 26
10 40
74 47
40 30
62 52
c30 52
71 60
57 47
26 36
52 34
02 03
35 16
60 24
37 27
36 66
34 54
24 42
16 37
03 12
54 53
12 13
53 64
66 56
64 53
56 36
53 43
36 66
43 07
66 67
c47 36
67 65
36 46
65 64
07 05
64 54
05 00
23 33
00 04
c54 04
46 56
04 00
56 66
00 40
37 56
13 23
66 55
42 64
c55 66
64 42
56 75
23 34
75 67
42 53
67 75
33 43
27 17
34 45
66 77
53 31
77 76
40 70
76 67
45 46
75 56
46 36
56 35
70 40
67 57
40 70
35 16
31 42
17 07
p T
42 15
07 27
70 71
57 67
15 26
16 24
c36 25
27 17
71 74
17 10
32 42
10 30
74 54
30 00
26 71
67 77
25 15
77 66
54 34
00 03
71 53
24 32
15 16
03 01
34 54
01 04
16 25
66 76
54 34
04 05
c25 14
05 00
53 44
32 40
44 33
00 30
14 13
30 33
c13 14
33 31
34 64
31 11
c14 25
11 14
25 35
40 61
64 14
61 53
14 44
76 66
44 74
53 45
35 44
66 56
74 77
45 66
77 74
56 47
43 53
47 57
42 52
66 47
74 70
47 55
70 76
55 43
52 62
57 47
53 63
43 62
44 53
47 37
53 42
62 50
c42 43
50 31
c43 32
31 50
76 71
50 71
32 41
71 50
41 50
37 26
63 73
p A
26 27
73 37
27 37
END:0
