B: Magnus
N: Morphy

13 23
62 42
15 35
66 46
10 30
73 62
00 20
65 55
20 21
62 44
01 22
44 54
22 10
54 45
21 22
60 40
11 21
45 44
06 25
75 66
02 11
66 57
35 46
64 54
46 56
57 66
22 32
61 51
25 46
44 35
11 44
67 56
46 67
35 33
04 13
33 36
07 06
63 53
44 22
36 34
14 24
34 52
03 47
66 75
47 14
52 34
22 55
77 67
10 02
34 45
55 11
45 44
23 33
51 41
17 37
70 60
14 04
72 61
30 41
76 55
04 26
75 57
32 30
74 75
26 15
44 24
c15 24
75 64
13 14
57 75
14 04
71 50
30 32
50 62
24 25
62 41
04 14
41 33
c14 24
67 66
02 23
64 65
24 13
33 14
32 35
65 76
35 34
55 74
21 31
61 50
34 24
54 44
25 34
66 61
34 35
14 26
13 03
75 64
31 42
26 07
11 02
64 55
35 31
53 42
31 21
c42 32
21 51
74 66
51 55
66 45
24 34
61 67
23 11
60 62
05 23
62 66
55 51
45 57
02 24
66 60
24 57
60 63
51 50
32 23
50 72
c76 65
34 14
23 14
c03 02
63 03
c06 03
14 04
p C
03 33
07 26
72 42
26 07
42 52
65 76
33 73
c76 65
57 75
67 57
52 50
57 67
50 54
c65 54
11 03
54 65
73 74
04 12
75 31
65 74
37 47
56 47
16 26
74 73
02 01
07 15
01 12
15 03
31 13
67 61
13 31
61 31
12 02
31 35
02 13
35 05
13 23
44 34
c23 12
05 75
12 01
75 76
26 36
40 30
36 47
76 66
47 57
66 46
01 02
34 24
02 03
46 41
03 12
41 40
12 02
40 60
02 11
60 62
11 00
73 63
00 10
62 42
10 11
42 72
11 01
72 62
57 67
62 12
01 12
63 53
12 11
53 64
11 20
24 14
20 11
64 73
11 12
73 74
12 02
74 75
02 11
75 74
11 20
74 63
20 31
14 04
p D
c31 42
04 26
42 32
63 54
32 42
26 21
42 52
54 64
52 62
21 23
62 51
23 24
c51 50
30 20
50 61
64 73
61 71
24 15
67 77
p D
c15 75
71 61
75 77
61 60
77 75
60 70
75 15
70 71
15 10
71 61
10 65
c61 51
65 10
51 42
73 72
42 41
10 01
c41 50
01 00
50 60
00 02
60 50
72 62
50 40
02 04
c40 50
20 10
50 41
04 37
41 42
37 36
42 41
36 63
c41 42
62 72
42 31
63 73
31 20
73 64
c20 11
72 71
11 02
64 31
02 03
31 13
c03 13
71 60
13 04
60 61
04 14
10 00
p T
14 24
00 06
24 23
06 16
23 34
16 12
34 43
12 14
43 53
14 04
53 43
04 05
43 32
05 35
c32 23
35 15
23 33
15 25
33 43
25 20
43 33
20 30
c33 22
30 34
22 23
34 35
23 22
35 65
22 11
65 62
11 21
61 60
21 20
62 72
20 11
72 74
11 20
74 24
c20 11
24 20
11 02
20 24
02 11
24 21
c11 12
60 51
12 21
END:0
