B: Turing
N: Magnus

17 27
71 50
10 20
50 71
13 23
61 41
14 24
66 56
04 13
67 47
13 14
60 50
11 21
75 57
06 25
62 52
01 13
73 40
13 34
76 55
02 11
40 13
c25 13
77 75
13 32
57 66
32 51
41 31
16 36
66 57
51 32
57 46
03 01
55 76
34 26
70 60
01 03
60 62
12 22
76 57
07 06
52 42
27 37
46 35
00 01
64 54
11 02
50 40
24 35
71 50
32 53
c74 64
53 45
c64 55
45 66
40 30
22 32
30 21
01 21
62 60
05 16
55 66
16 25
75 77
06 05
56 46
21 01
66 67
03 21
60 62
26 07
77 73
25 16
65 55
14 13
67 77
36 47
72 61
16 52
61 70
13 24
31 20
21 51
73 75
01 00
77 67
05 06
62 61
00 01
61 60
51 71
46 36
02 13
75 72
01 31
42 31
13 31
72 71
52 30
50 31
24 33
71 61
30 21
54 44
c33 24
44 35
c24 14
61 41
06 05
31 52
21 30
41 01
30 41
20 10
05 01
67 76
41 30
52 64
14 05
76 77
01 51
64 72
30 21
70 25
51 54
60 62
21 30
55 45
54 56
77 67
07 26
62 61
23 33
61 41
26 45
25 16
c05 14
10 00
p C
56 55
63 43
55 56
16 34
15 25
72 64
56 53
00 12
32 41
36 26
53 54
12 31
54 55
34 25
c14 13
67 77
13 02
64 72
30 21
26 16
21 12
72 53
41 51
53 32
45 53
25 47
55 57
c77 66
53 65
32 44
57 54
44 25
12 67
25 44
67 34
43 34
65 46
31 43
54 57
66 75
46 65
44 23
c02 01
16 06
p D
c01 10
06 56
10 20
23 44
65 73
75 74
57 67
56 76
67 61
47 25
73 54
76 66
61 60
44 36
54 66
c74 75
60 70
c75 65
70 50
65 76
20 30
76 75
51 61
36 44
66 54
c75 64
54 75
25 14
50 51
44 25
51 53
25 46
37 47
46 27
75 63
14 03
c30 40
03 47
40 50
47 03
50 41
27 46
41 40
03 47
53 54
c64 65
54 51
47 36
61 71
p T
46 67
51 57
36 03
57 50
67 55
71 51
65 76
63 55
c76 66
51 41
43 51
41 01
03 14
01 04
14 32
40 31
32 41
55 76
66 75
50 40
41 14
40 44
51 70
31 20
70 62
44 40
14 41
33 43
41 63
04 03
63 36
76 55
62 43
03 00
36 14
40 42
34 24
00 10
14 25
10 00
25 36
42 52
35 25
00 02
43 51
52 54
51 72
54 24
72 64
20 30
64 43
55 47
36 54
24 22
43 35
22 23
35 23
02 06
54 45
30 20
23 02
06 26
45 56
47 66
56 34
26 27
34 52
27 57
52 30
57 56
75 76
56 55
30 74
55 50
02 23
50 56
23 02
56 50
76 66
50 54
66 67
54 44
02 14
20 10
14 33
10 20
67 56
44 40
56 67
40 45
67 66
45 41
74 63
41 21
33 52
20 10
66 76
21 22
52 73
22 25
63 41
25 05
41 63
10 00
73 61
05 15
63 30
15 13
30 12
13 43
12 67
43 46
c76 75
00 10
75 74
46 43
74 65
43 23
61 42
23 43
67 23
10 20
23 34
43 42
34 61
20 31
61 16
31 30
16 27
42 02
27 16
30 40
65 54
02 01
54 44
01 31
16 43
40 51
43 61
51 62
61 25
62 71
44 53
31 30
25 70
30 60
70 52
60 62
52 70
71 70
53 43
62 22
43 34
22 62
34 45
62 63
45 56
70 60
56 46
63 66
c46 37
66 76
37 47
76 74
47 46
74 73
46 45
73 75
c45 34
75 05
34 44
05 06
44 54
06 56
c54 43
56 52
43 52
END:0
