B: Pippo
N: Marius

17 27
61 51
12 32
62 42
07 17
63 43
11 31
74 63
01 22
42 31
22 41
76 55
41 22
55 34
10 30
71 52
13 23
34 15
22 34
52 40
00 20
63 54
20 10
40 21
30 40
60 50
02 11
77 76
03 12
73 53
10 00
21 00
12 30
53 71
14 24
76 77
30 63
c72 63
17 07
71 17
06 14
51 40
14 26
17 07
11 66
07 05
c04 13
70 73
26 45
05 01
32 42
65 55
45 57
01 05
34 53
73 74
57 76
05 07
66 75
63 72
75 57
00 21
c13 14
21 33
c14 13
54 44
53 74
33 45
13 12
07 27
42 52
45 53
12 13
53 65
16 27
44 54
74 53
43 33
57 46
54 53
76 57
31 21
52 62
c53 43
13 04
43 44
57 45
44 54
45 57
15 03
04 05
72 61
62 72
p D
c77 72
46 35
61 16
c05 04
16 52
27 37
52 16
04 14
72 62
35 53
16 34
53 35
55 45
14 05
34 61
35 17
61 16
c05 04
62 42
04 03
33 24
57 45
42 62
03 04
62 32
23 33
32 30
45 66
c54 63
04 14
30 20
17 62
21 11
62 51
67 47
66 74
16 70
74 62
63 72
62 50
20 22
50 42
70 25
c14 25
22 42
25 16
42 44
51 42
44 43
16 26
43 45
26 27
45 46
42 53
65 77
53 26
46 45
27 17
72 61
26 44
61 60
44 71
c60 61
17 06
24 14
71 60
77 56
06 16
45 44
16 27
44 43
27 17
43 41
60 42
56 37
17 27
64 54
27 17
11 01
p C
17 06
01 13
42 60
41 45
60 71
13 21
33 43
45 05
c06 17
05 01
71 26
21 02
26 15
02 10
15 60
01 03
60 06
10 31
06 51
61 72
51 40
37 25
c17 16
03 04
43 54
25 06
40 31
04 05
31 20
72 62
20 42
05 45
42 31
45 43
16 07
43 63
31 75
63 33
07 17
06 27
75 64
33 30
64 53
c62 51
53 20
30 33
20 02
51 52
17 07
27 06
02 24
52 62
24 33
47 37
33 00
62 72
07 16
06 25
54 64
25 04
c16 17
04 25
c17 16
25 13
00 55
13 25
55 22
72 63
22 40
25 46
40 22
63 72
22 66
72 71
66 22
46 34
22 33
14 04
p T
33 15
04 01
16 17
01 03
15 06
37 27
06 24
03 43
24 33
43 47
33 66
47 67
66 44
c71 61
44 33
34 53
33 15
61 72
17 06
53 34
15 51
34 15
51 33
72 62
33 44
c62 52
44 62
52 42
06 15
67 64
62 35
64 60
15 04
60 00
c04 14
42 31
14 25
00 06
35 46
31 41
25 24
06 46
24 25
41 32
25 24
46 45
24 34
45 05
34 44
05 01
44 45
01 00
45 54
00 10
54 65
10 17
65 64
32 42
64 74
42 51
74 73
17 11
73 74
51 40
74 63
11 61
c63 53
61 41
53 62
40 30
62 53
41 43
c53 43
30 20
43 54
20 11
54 64
11 20
64 63
20 11
63 72
11 01
72 71
01 00
71 61
00 11
61 51
11 01
51 42
01 00
42 32
00 10
32 42
27 17
42 53
10 01
53 62
01 00
62 71
00 11
71 70
11 20
70 60
20 31
60 70
31 41
70 60
41 30
60 71
17 07
p T
71 61
07 00
61 52
30 21
52 41
00 20
41 52
21 30
52 61
30 21
61 62
20 30
62 71
21 12
71 72
30 35
72 63
35 30
63 64
12 21
64 55
21 10
55 65
30 37
65 76
10 21
76 75
37 07
75 64
07 04
c64 55
04 54
c55 66
54 51
66 75
51 53
75 74
21 32
74 65
53 73
65 56
32 43
56 57
43 54
57 66
73 03
66 76
03 00
76 67
00 07
END:0
