B: Gallo
N: Shaldon

15 35
63 43
06 25
65 45
25 44
67 57
10 20
66 56
44 23
71 52
00 10
52 71
23 15
76 55
17 37
73 63
15 23
60 40
23 15
63 41
16 36
55 67
14 24
70 50
36 45
71 63
05 32
56 45
04 14
50 55
11 31
61 51
10 00
41 50
15 34
55 65
37 47
77 76
34 55
c67 55
32 23
76 66
02 11
55 67
14 05
64 54
05 04
63 71
03 02
74 73
12 32
43 33
23 34
50 60
34 25
40 30
25 14
60 61
04 15
66 46
11 33
72 63
00 10
46 36
33 51
65 64
07 04
62 51
10 12
36 37
24 34
73 72
34 44
37 36
14 36
63 74
31 41
72 62
04 34
62 73
02 06
71 50
36 45
61 43
12 10
43 61
45 27
61 72
34 14
73 62
06 46
72 63
35 45
75 66
10 11
57 46
47 57
67 75
14 24
50 31
15 26
46 36
27 16
63 13
24 04
74 41
11 21
62 72
57 66
54 45
32 41
13 43
01 13
72 61
16 34
61 71
21 25
43 70
04 02
45 34
02 06
70 43
26 16
71 61
25 45
43 33
45 35
33 24
35 55
61 71
13 32
24 35
06 01
35 57
01 02
64 63
55 52
63 73
02 01
71 70
01 11
57 47
66 75
p C
31 23
11 31
47 17
c16 05
23 44
52 42
44 52
32 13
17 06
c05 14
73 53
31 34
06 05
c14 24
05 00
13 25
53 54
25 04
54 74
75 56
00 03
34 74
c52 73
56 44
03 43
24 14
43 13
c14 13
36 26
44 63
26 16
13 14
16 06
p D
04 16
06 33
74 64
33 34
c16 24
34 43
24 12
43 53
64 24
53 17
c14 25
17 14
c25 26
14 16
c26 35
16 52
24 64
52 34
c35 34
73 65
12 33
65 57
34 43
70 60
33 25
57 36
64 66
60 70
66 56
51 42
56 57
36 24
c43 54
24 36
57 37
36 15
25 46
15 34
37 07
34 46
c54 64
46 25
07 00
25 37
00 06
37 45
c64 74
45 26
63 55
70 60
06 01
26 34
74 73
42 32
55 76
34 15
01 04
60 71
73 74
71 61
76 55
15 07
74 65
61 51
65 64
51 40
55 76
07 26
04 24
26 05
64 63
05 26
63 72
26 07
24 64
40 41
64 04
41 51
72 71
51 50
04 05
32 22
05 75
22 12
75 65
07 26
65 35
26 07
76 64
07 26
64 45
26 45
35 25
45 64
25 55
c50 40
71 62
64 52
55 05
52 73
05 02
73 65
02 07
65 44
07 02
44 25
02 00
40 41
00 10
25 06
10 11
c41 40
62 61
06 14
61 62
14 06
11 71
40 50
71 41
12 02
p D
c62 71
02 35
c41 44
06 27
71 62
35 05
44 74
05 25
74 14
25 70
14 17
70 34
17 12
50 60
12 52
34 23
52 12
23 25
12 16
27 15
62 73
60 71
16 06
25 65
06 05
65 56
05 00
71 70
00 02
15 03
02 22
56 65
22 12
65 10
12 42
10 13
c42 43
13 33
73 63
33 35
43 13
03 24
13 16
35 17
63 74
70 60
16 76
17 57
76 66
c60 70
END:0
