B: Kasparov
N: Turing

15 25
63 43
14 34
72 63
11 31
63 45
16 36
64 44
05 50
65 55
50 32
73 53
12 22
66 56
32 41
c53 52
10 20
67 57
25 35
52 41
06 14
41 23
07 05
43 34
20 30
23 13
c04 13
62 42
05 07
71 52
31 42
52 71
17 37
74 65
35 44
60 50
07 17
55 44
37 47
34 24
c13 04
56 47
01 13
47 36
13 21
75 42
21 33
45 34
02 20
42 60
00 02
65 56
02 00
34 52
20 53
44 34
17 16
56 55
16 06
60 51
06 26
52 43
26 25
c36 25
53 17
43 52
14 35
51 62
33 25
57 47
25 44
76 57
03 25
57 76
25 34
50 40
35 43
c52 43
44 32
43 54
34 37
c55 56
37 15
54 65
15 45
c56 45
17 44
61 41
44 17
76 64
00 20
64 76
32 53
c45 56
53 32
24 14
04 13
62 73
17 62
76 57
62 73
57 36
13 02
70 50
32 44
c36 44
02 01
44 23
01 00
65 43
73 64
50 52
20 21
23 42
21 20
77 67
20 10
43 25
00 01
67 65
10 13
52 72
13 73
65 75
01 00
71 63
73 72
56 67
30 41
25 16
00 11
75 25
64 46
16 27
46 13
63 44
13 24
67 56
72 75
44 63
41 51
27 54
24 42
14 04
p C
75 45
54 21
42 24
21 30
45 25
30 52
24 13
40 30
25 15
52 61
15 65
61 72
65 67
56 55
13 35
30 20
c11 02
63 42
67 77
55 66
35 13
04 12
13 35
12 31
22 31
66 56
35 53
56 45
77 73
42 50
73 63
45 46
63 64
50 62
31 41
72 27
02 01
62 70
64 60
70 51
01 12
27 45
c12 02
45 12
60 61
46 36
53 75
36 35
61 71
51 70
41 51
35 26
71 74
26 35
74 64
12 23
51 61
23 34
75 66
34 52
61 70
p C
52 43
64 62
43 32
66 00
20 10
00 22
35 34
62 67
32 54
70 62
54 36
62 50
36 45
50 62
34 35
22 40
35 24
02 11
45 36
40 04
24 23
04 40
36 03
62 70
03 12
40 22
12 01
67 63
c23 34
63 73
01 12
73 76
34 35
22 33
12 34
76 56
34 25
33 77
25 43
11 22
43 25
56 54
25 07
77 33
07 70
33 06
10 00
p D
c22 23
70 34
c23 14
34 61
14 15
00 77
54 50
77 75
50 55
c35 46
06 17
75 57
15 14
61 34
14 13
46 36
c13 04
57 02
c04 14
34 01
55 52
02 03
c14 24
03 07
17 06
01 56
24 33
36 26
52 50
07 61
50 55
26 36
55 56
c36 35
56 57
61 62
33 43
62 32
c43 53
32 54
c53 42
35 26
06 24
54 10
57 51
10 76
51 31
76 36
42 53
36 54
c53 42
54 76
24 13
76 36
13 22
47 37
42 53
36 66
22 33
66 75
c53 63
75 55
33 00
55 77
31 32
37 27
00 55
77 55
63 74
55 33
74 75
33 22
32 42
26 16
42 52
22 20
c75 74
20 02
52 72
02 05
74 63
05 14
63 62
14 64
c62 51
64 44
72 73
44 00
73 72
00 06
c51 52
06 01
72 73
16 06
73 03
c01 03
52 62
03 14
62 53
14 17
c53 42
17 62
c42 43
62 63
c43 44
06 16
44 35
63 30
c35 46
30 10
46 45
10 43
c45 55
16 05
55 66
43 70
66 67
70 77
c67 56
77 22
56 47
22 04
47 56
04 64
56 47
64 61
47 46
61 64
c46 56
05 04
56 47
64 63
47 37
63 61
37 26
61 72
26 37
72 12
37 47
12 10
47 57
10 30
57 47
30 31
47 56
31 42
END:0
