B: Bobbi
N: Pippo

10 20
67 47
12 22
71 52
03 21
64 54
21 30
73 37
30 34
37 15
c04 15
75 20
11 31
61 51
34 67
74 73
67 57
52 33
22 32
66 56
06 25
76 57
13 23
70 71
25 37
20 31
15 26
31 22
02 11
22 13
00 50
13 04
c26 27
54 44
07 06
57 36
06 07
04 40
11 20
71 61
20 11
62 42
11 00
77 74
07 06
63 53
01 13
73 63
37 25
33 14
00 11
47 37
11 33
74 54
50 40
61 71
27 37
36 15
33 00
14 06
23 33
06 27
13 34
53 43
34 26
15 36
00 22
63 74
40 10
72 50
10 14
36 57
14 34
27 15
22 40
74 64
40 04
64 63
26 07
15 27
16 36
71 75
25 06
51 41
06 25
57 76
04 26
75 72
34 44
72 62
44 47
54 53
05 23
63 54
32 41
50 72
25 04
27 46
26 15
54 55
23 34
53 63
47 67
72 50
04 16
46 67
16 35
50 72
35 54
67 75
54 42
56 46
c37 26
43 34
42 50
34 24
50 62
76 64
15 04
64 52
33 43
63 62
41 51
72 54
51 61
62 63
26 27
54 43
04 22
c55 64
22 31
c64 74
31 75
43 10
61 71
p T
c63 73
71 72
60 40
07 15
10 32
72 71
52 44
15 07
32 41
71 73
c74 73
07 15
24 15
27 16
41 05
c16 07
65 45
75 31
05 16
c07 16
73 62
31 75
44 36
75 53
c62 53
16 25
53 44
17 27
40 30
27 36
30 20
25 14
15 05
p D
c14 05
44 33
36 45
33 23
45 55
23 13
05 15
13 03
15 26
03 13
26 15
13 22
15 06
20 10
06 15
22 33
15 25
33 22
25 26
10 00
p C
26 15
22 31
15 06
46 36
06 16
00 12
16 05
12 24
c05 14
24 05
14 03
31 41
03 12
41 30
12 02
05 24
02 13
24 05
c13 23
05 24
23 14
24 05
14 23
30 31
23 14
31 40
55 65
05 17
14 24
40 41
24 33
41 52
33 32
52 51
32 31
51 52
31 32
52 61
32 33
61 72
33 43
36 26
43 44
17 36
c44 54
72 61
54 53
61 72
53 42
36 55
42 33
72 62
33 22
26 16
22 21
62 51
21 31
55 67
31 20
51 52
20 31
67 46
31 22
52 43
22 23
46 25
65 75
p C
16 06
p T
75 63
43 52
63 42
06 04
42 30
04 00
23 14
52 63
14 24
25 44
24 33
63 62
33 24
00 07
30 42
07 57
42 50
c62 63
50 62
57 52
24 15
63 72
62 74
52 57
15 14
44 65
14 13
65 73
13 02
57 50
02 01
73 52
74 66
52 33
66 74
72 61
74 66
50 57
01 02
57 77
02 03
33 45
66 47
45 53
47 26
53 41
03 02
77 57
26 45
57 52
END:0
